,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
69902,69902,85,PPh3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
72590,72590,85,tBuDavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82190,82190,100,tBuDavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75470,75470,85,CyPPh2,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
79502,79502,100,PPh3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
76814,76814,85,PAd3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
85070,85070,100,CyPPh2,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87566,87566,100,PCy2Ph,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
72638,72638,85,tBuDavePhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86414,86414,100,PAd3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
77966,77966,85,PCy2Ph,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
70670,70670,85,P(4-OMe-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
76862,76862,85,PAd3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
69950,69950,85,PPh3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
83918,83918,100,PhDavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80270,80270,100,P(4-OMe-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82238,82238,100,tBuDavePhos,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86462,86462,100,PAd3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75518,75518,85,CyPPh2,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78926,78926,85,iPrPhenCar-Phos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
70718,70718,85,P(4-OMe-C6H4)3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
71054,71054,85,P(4-CF3-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80654,80654,100,P(4-CF3-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
74318,74318,85,PhDavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
77006,77006,85,cataCXium PiPr,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
88526,88526,100,iPrPhenCar-Phos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
86366,86366,100,PAd3,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78350,78350,85,Amidolephos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
81230,81230,100,cataCXium A,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
79454,79454,100,PPh3,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
74894,74894,85,BippyPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
75854,75854,85,EPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80318,80318,100,P(4-OMe-C6H4)3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82574,82574,100,cataCXium PICy,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80222,80222,100,P(4-OMe-C6H4)3,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
82142,82142,100,tBuDavePhos,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78158,78158,85,NPCy2-Phendolephos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
85022,85022,100,CyPPh2,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
71630,71630,85,cataCXium A,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
80606,80606,100,P(4-CF3-C6H4)3,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
85118,85118,100,CyPPh2,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
79550,79550,100,PPh3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84494,84494,100,BippyPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87758,87758,100,NPCy2-Phendolephos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
71102,71102,85,P(4-CF3-C6H4)3,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
88142,88142,100,PtBuPh2,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
76766,76766,85,PAd3,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87950,87950,100,Amidolephos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78014,78014,85,PCy2Ph,DMI,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
78542,78542,85,PtBuPh2,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
85454,85454,100,EPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
87518,87518,100,PCy2Ph,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
