,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
84950,84950,100,RuPhos,DMI,NiCl2.6H2O,DIPEA,MeOH
75350,75350,85,RuPhos,DMI,NiCl2.6H2O,DIPEA,MeOH
75302,75302,85,RuPhos,tAmOH,NiCl2.6H2O,DIPEA,MeOH
84902,84902,100,RuPhos,tAmOH,NiCl2.6H2O,DIPEA,MeOH
84758,84758,100,CyBippyPhos,DMI,NiCl2.6H2O,DIPEA,MeOH
75158,75158,85,CyBippyPhos,DMI,NiCl2.6H2O,DIPEA,MeOH
78566,78566,85,PtBuPh2,tAmOH,NiCl2.6H2O,DIPEA,MeOH
88214,88214,100,PtBuPh2,DMI,NiCl2.6H2O,DIPEA,MeOH
78614,78614,85,PtBuPh2,DMI,NiCl2.6H2O,DIPEA,MeOH
84974,84974,100,CyPPh2,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
72398,72398,85,Cy-vBRIDP,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84710,84710,100,CyBippyPhos,tAmOH,NiCl2.6H2O,DIPEA,MeOH
75110,75110,85,CyBippyPhos,tAmOH,NiCl2.6H2O,DIPEA,MeOH
87470,87470,100,PCy2Ph,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
84794,84794,100,RuPhos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
84602,84602,100,CyBippyPhos,PhMe,[Ni(COD)(DQ)],DIPEA,MeOH
86318,86318,100,PAd3,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
88166,88166,100,PtBuPh2,tAmOH,NiCl2.6H2O,DIPEA,MeOH
75266,75266,85,RuPhos,tAmOH,[Ni(oTol)(Cl)(TMEDA)],DIPEA,MeOH
84782,84782,100,RuPhos,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
81326,81326,100,cataCXium POMetB,PhMe,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
