,rxn_id,temperature,ligand,solvent,precursor,base,cosolvent
64142,64142,70,PAd3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
56366,56366,70,MorDalphos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
48590,48590,70,PPh3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
52478,52478,70,cataCXium A,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
61982,61982,70,EPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
64046,64046,70,PAd3,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
60590,60590,70,RuPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
48494,48494,70,PPh3,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
55934,55934,70,XPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
37982,37982,55,RuPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
56558,56558,70,MorDalphos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
64334,64334,70,PAd3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
60686,60686,70,RuPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
24638,24638,55,PPh3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58526,58526,70,PhDavePhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
57662,57662,70,BrettPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
66734,66734,70,PCy2Ph,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
50318,50318,70,P(4-OMe-C6H4)3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
56126,56126,70,XPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
55070,55070,70,CyJohnPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
24542,24542,55,PPh3,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
48782,48782,70,PPh3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
41822,41822,55,PAd3,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
68030,68030,70,PtBuPh2,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
52670,52670,70,cataCXium A,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
62174,62174,70,EPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58094,58094,70,SPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
62846,62846,70,CPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
54638,54638,70,tBuDavePhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
51182,51182,70,P(4-CF3-C6H4)3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
60878,60878,70,RuPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
60710,60710,70,RuPhos,iPrOH,NiCl2.6H2O,DIPEA,MeOH
59390,59390,70,AmPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
49454,49454,70,JohnPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
56270,56270,70,MorDalphos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
61886,61886,70,EPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
52382,52382,70,cataCXium A,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
50222,50222,70,P(4-OMe-C6H4)3,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
54206,54206,70,Cy-vBRIDP,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
42398,42398,55,cataCXium PiPr,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
39518,39518,55,EPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
66926,66926,70,PCy2Ph,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
68222,68222,70,PtBuPh2,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
69326,69326,70,PhXPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58430,58430,70,PhDavePhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
61118,61118,70,CyPPh2,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
50510,50510,70,P(4-OMe-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
68462,68462,70,PtBuCy2,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
63710,63710,70,(tBu)PhCPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
52910,52910,70,cataCXium POMetB,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
55262,55262,70,CyJohnPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
26558,26558,55,P(4-OMe-C6H4)3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58718,58718,70,PhDavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
61550,61550,70,DavePhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
57854,57854,70,BrettPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
32798,32798,55,XPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58286,58286,70,SPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
44798,44798,55,PCy2Ph,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
68126,68126,70,PtBuPh2,EtOAc,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
61022,61022,70,CyPPh2,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
67934,67934,70,PtBuPh2,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
51086,51086,70,P(4-CF3-C6H4)3,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
24878,24878,55,PPh3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
26462,26462,55,P(4-OMe-C6H4)3,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
58958,58958,70,CyAmPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
51374,51374,70,P(4-CF3-C6H4)3,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
59822,59822,70,BippyPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
61454,61454,70,DavePhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
63038,63038,70,CPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
54542,54542,70,tBuDavePhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
57566,57566,70,BrettPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
50750,50750,70,"P(2,4,6-TriMeO)3",iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
35678,35678,55,PhDavePhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
42302,42302,55,cataCXium PiPr,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
49022,49022,70,PCy3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
46238,46238,55,PtBuPh2,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
27998,27998,55,P(2-OMe-C6H4)3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
31838,31838,55,CyJohnPhos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
61214,61214,70,CyPPh2,EtOAc,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
33038,33038,55,XPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
66638,66638,70,PCy2Ph,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
49886,49886,70,P(oTol)3,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
33182,33182,55,MorDalphos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
68078,68078,70,PtBuPh2,DEC,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
49646,49646,70,JohnPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
63902,63902,70,(tBu)PhCPhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
60158,60158,70,CyBippyPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
54830,54830,70,tBuDavePhos,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
68054,68054,70,PtBuPh2,iPrOH,NiCl2.6H2O,DIPEA,MeOH
46142,46142,55,PtBuPh2,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
54974,54974,70,CyJohnPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
67166,67166,70,NPCy2-Phendolephos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
55502,55502,70,cataCXium PICy,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
68894,68894,70,iPrPhenCar-Phos,iPrOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
39422,39422,55,EPhos,MeCN,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
53102,53102,70,cataCXium POMetB,tAmOH,[Ni(oTol)(Cl)(PPh3)2],DIPEA,MeOH
