,rxn_id,P_A%,Selectivity_A%
0,48464,0.0,0.0
1,48484,0.0,0.0
2,48586,0.0212,0.1607
3,48614,0.4183,0.8606
4,48650,0.275,0.7504
5,49031,0.0203,0.0509
6,49081,0.0,0.0
7,49147,0.0,0.0
8,49369,0.0,0.0
9,49370,0.09,0.3309
10,49413,0.0,0.0
11,49445,0.0717,0.2034
12,49446,0.0,0.0
13,49488,0.0,0.0
14,49623,0.0,0.0
15,49794,0.0,0.0
16,50817,0.0,0.0
17,52218,0.0,0.0
18,52224,0.0,0.0
19,52229,0.1408,0.3338
20,52344,0.0,0.0
21,52577,0.2294,0.5038
22,52820,0.0,0.0
23,52985,0.0629,0.3768
24,53156,0.0,0.0
25,53461,0.0,0.0
26,53719,0.0,0.0
27,53907,0.094,0.4113
28,54239,0.0,0.0
29,54826,0.0,0.0
30,55119,0.0584,0.1825
31,55226,0.265,0.5823
32,55347,0.0262,0.1549
33,55810,0.0,0.0
34,55941,0.3942,0.4765
35,56254,0.0,0.0
36,57761,0.2281,0.3856
37,58468,0.0,0.0
38,59019,0.0276,0.1469
39,59248,0.0,0.0
40,59393,0.1106,0.2639
41,59438,0.2921,0.6234
42,59480,0.0,0.0
43,59793,0.0,0.0
44,59815,0.0,0.0
45,59969,0.1247,0.2593
46,60018,0.06,0.1702
47,60155,0.0222,0.0552
48,60890,0.1281,0.4129
49,61457,0.0964,0.2063
50,61523,0.0,0.0
51,61774,0.0,0.0
52,61906,0.0,0.0
53,62316,0.0907,0.184
54,62342,0.0984,0.2763
55,62399,0.0,0.0
56,62731,0.0,0.0
57,63655,0.0,0.0
58,63669,0.0,0.0
59,63724,0.0,0.0
60,64343,0.0213,0.0623
61,64979,0.0,0.0
62,67042,0.0,0.0
63,67089,0.1847,0.406
64,67122,0.0,0.0
65,67327,0.0,0.0
66,68233,0.0,0.0
67,68487,0.0,0.0
68,68528,0.0,0.0
69,68529,0.0,0.0
70,68757,0.0,0.0
71,68793,0.1287,0.2775
72,68796,0.1807,0.3318
73,68836,0.0,0.0
74,68843,0.0093,0.0203
75,68967,0.0,0.0
76,79334,0.0,0.0
77,79455,0.0763,0.2243
78,80972,0.0,0.0
79,81586,0.0,0.0
80,81637,0.0,0.0
81,83310,0.0,0.0
82,83817,0.0,0.0
83,83872,0.0,0.0
84,83888,0.0,0.0
85,83908,0.0099,0.0728
86,84051,0.1009,0.2989
87,84190,0.0775,0.3151
88,85180,0.0,0.0
89,85713,0.3116,0.6274
90,85782,0.0,0.0
91,85804,0.0,0.0
92,86275,0.0,0.0
93,86597,0.5126,0.5515
94,87902,0.4185,0.7154
95,88394,0.2878,0.706
